stock1,stock2,relation_type,weight
MARUTI,M&M,sector,0.9
MARUTI,TATAMOTORS,sector,0.9
MARUTI,BAJAJ-AUTO,sector,0.9
MARUTI,EICHERMOT,sector,0.9
MARUTI,HEROMOTOCO,sector,0.9
M&M,TATAMOTORS,sector,0.9
M&M,BAJAJ-AUTO,sector,0.9
M&M,EICHERMOT,sector,0.9
M&M,HEROMOTOCO,sector,0.9
TATAMOTORS,BAJAJ-AUTO,sector,0.9
TATAMOTORS,EICHERMOT,sector,0.9
TATAMOTORS,HEROMOTOCO,sector,0.9
BAJAJ-AUTO,EICHERMOT,sector,0.9
BAJAJ-AUTO,HEROMOTOCO,sector,0.9
EICHERMOT,HEROMOTOCO,sector,0.9
HDFCBANK,ICICIBANK,sector,0.9
HDFCBANK,SBIN,sector,0.9
HDFCBANK,KOTAKBANK,sector,0.9
HDFCBANK,AXISBANK,sector,0.9
HDFCBANK,INDUSINDBK,sector,0.9
ICICIBANK,SBIN,sector,0.9
ICICIBANK,KOTAKBANK,sector,0.9
ICICIBANK,AXISBANK,sector,0.9
ICICIBANK,INDUSINDBK,sector,0.9
SBIN,KOTAKBANK,sector,0.9
SBIN,AXISBANK,sector,0.9
SBIN,INDUSINDBK,sector,0.9
KOTAKBANK,AXISBANK,sector,0.9
KOTAKBANK,INDUSINDBK,sector,0.9
AXISBANK,INDUSINDBK,sector,0.9
JSWSTEEL,ASIANPAINT,sector,0.9
RELIANCE,ONGC,sector,0.9
RELIANCE,NTPC,sector,0.9
RELIANCE,POWERGRID,sector,0.9
RELIANCE,BPCL,sector,0.9
ONGC,NTPC,sector,0.9
ONGC,POWERGRID,sector,0.9
ONGC,BPCL,sector,0.9
NTPC,POWERGRID,sector,0.9
NTPC,BPCL,sector,0.9
POWERGRID,BPCL,sector,0.9
BAJFINANCE,ADANIENT,sector,0.9
BAJFINANCE,SBILIFE,sector,0.9
BAJFINANCE,HDFCLIFE,sector,0.9
ADANIENT,SBILIFE,sector,0.9
ADANIENT,HDFCLIFE,sector,0.9
SBILIFE,HDFCLIFE,sector,0.9
HINDUNILVR,ITC,sector,0.9
HINDUNILVR,BRITANNIA,sector,0.9
HINDUNILVR,TATACONSUM,sector,0.9
ITC,BRITANNIA,sector,0.9
ITC,TATACONSUM,sector,0.9
BRITANNIA,TATACONSUM,sector,0.9
SUNPHARMA,DIVISLAB,sector,0.9
SUNPHARMA,CIPLA,sector,0.9
DIVISLAB,CIPLA,sector,0.9
TCS,INFY,sector,0.9
TCS,HCLTECH,sector,0.9
TCS,WIPRO,sector,0.9
TCS,TECHM,sector,0.9
INFY,HCLTECH,sector,0.9
INFY,WIPRO,sector,0.9
INFY,TECHM,sector,0.9
HCLTECH,WIPRO,sector,0.9
HCLTECH,TECHM,sector,0.9
WIPRO,TECHM,sector,0.9
ULTRACEMCO,COALINDIA,sector,0.9
ULTRACEMCO,HINDALCO,sector,0.9
COALINDIA,HINDALCO,sector,0.9
AXISBANK,CIPLA,correlated,0.802091873202656
AXISBANK,GRASIM,correlated,0.714216654689568
AXISBANK,HDFCBANK,correlated,0.8973317993502475
AXISBANK,LT,correlated,0.943644082226414
AXISBANK,TATAMOTORS,correlated,0.8000462096791492
AXISBANK,UPL,correlated,0.7353263620945337
BAJAJ-AUTO,UPL,correlated,0.7785811629024808
BAJAJFINSV,TECHM,correlated,0.7343273563563939
CIPLA,AXISBANK,correlated,0.802091873202656
CIPLA,HDFCBANK,correlated,0.9300004398714344
CIPLA,LT,correlated,0.8196772889701268
CIPLA,TATAMOTORS,correlated,0.723921290260696
EICHERMOT,JSWSTEEL,correlated,0.738603252053993
EICHERMOT,MARUTI,correlated,0.7431477649488567
GRASIM,AXISBANK,correlated,0.714216654689568
GRASIM,JSWSTEEL,correlated,0.7161637894830781
GRASIM,LT,correlated,0.7002102801977838
GRASIM,MARUTI,correlated,0.7681004966417471
GRASIM,POWERGRID,correlated,0.7507649257152293
GRASIM,TATAMOTORS,correlated,0.7439266739858892
GRASIM,TECHM,correlated,0.8429271922151585
GRASIM,UPL,correlated,0.7996472678411357
GRASIM,WIPRO,correlated,0.8199440241641184
HCLTECH,JSWSTEEL,correlated,0.8088176185050018
HCLTECH,M&M,correlated,0.7948661623069224
HCLTECH,ULTRACEMCO,correlated,0.7559573317837396
HDFCBANK,CIPLA,correlated,0.9300004398714344
HDFCBANK,LT,correlated,0.904337776919494
HDFCBANK,TATAMOTORS,correlated,0.7858676110434024
HDFCBANK,TECHM,correlated,0.7616160585296182
HDFCBANK,UPL,correlated,0.8068169302979163
HEROMOTOCO,HINDALCO,correlated,0.7855654194341085
HEROMOTOCO,INDUSINDBK,correlated,0.7336116307264228
HEROMOTOCO,MARUTI,correlated,0.7949545934698382
HEROMOTOCO,ULTRACEMCO,correlated,0.8121277034584274
HINDALCO,HEROMOTOCO,correlated,0.7855654194341085
HINDALCO,INDUSINDBK,correlated,0.8256357753053892
HINDALCO,JSWSTEEL,correlated,0.7303743519077056
HINDALCO,ULTRACEMCO,correlated,0.9432581158335263
INDUSINDBK,HEROMOTOCO,correlated,0.7336116307264228
INDUSINDBK,HINDALCO,correlated,0.8256357753053892
INDUSINDBK,ULTRACEMCO,correlated,0.8589711308753437
INDUSINDBK,UPL,correlated,0.7160051843590878
JSWSTEEL,EICHERMOT,correlated,0.738603252053993
JSWSTEEL,GRASIM,correlated,0.7161637894830781
JSWSTEEL,HCLTECH,correlated,0.8088176185050018
JSWSTEEL,HINDALCO,correlated,0.7303743519077056
JSWSTEEL,M&M,correlated,0.8993494919902462
JSWSTEEL,MARUTI,correlated,0.7354186232224588
JSWSTEEL,TATAMOTORS,correlated,0.7244383921375175
JSWSTEEL,ULTRACEMCO,correlated,0.7676721146849224
LT,AXISBANK,correlated,0.943644082226414
LT,CIPLA,correlated,0.8196772889701268
LT,GRASIM,correlated,0.7002102801977838
LT,HDFCBANK,correlated,0.904337776919494
LT,NTPC,correlated,0.8531377073033932
LT,TATAMOTORS,correlated,0.8221126877827737
M&M,HCLTECH,correlated,0.7948661623069224
M&M,JSWSTEEL,correlated,0.8993494919902462
MARUTI,GRASIM,correlated,0.7681004966417471
MARUTI,JSWSTEEL,correlated,0.7354186232224588
MARUTI,ULTRACEMCO,correlated,0.7583940181234605
NTPC,LT,correlated,0.8531377073033932
POWERGRID,GRASIM,correlated,0.7507649257152293
POWERGRID,NTPC,correlated,0.8543460271405647
TATAMOTORS,AXISBANK,correlated,0.8000462096791492
TATAMOTORS,CIPLA,correlated,0.723921290260696
TATAMOTORS,GRASIM,correlated,0.7439266739858892
TATAMOTORS,HDFCBANK,correlated,0.7858676110434024
TATAMOTORS,JSWSTEEL,correlated,0.7244383921375175
TATAMOTORS,LT,correlated,0.8221126877827737
TATAMOTORS,MARUTI,correlated,0.7449049832072562
TATAMOTORS,ULTRACEMCO,correlated,0.905472837406696
TECHM,BAJAJFINSV,correlated,0.7343273563563939
TECHM,GRASIM,correlated,0.8429271922151585
TECHM,HDFCBANK,correlated,0.7616160585296182
TECHM,WIPRO,correlated,0.8026637383815226
ULTRACEMCO,HCLTECH,correlated,0.7559573317837396
ULTRACEMCO,HEROMOTOCO,correlated,0.8121277034584274
ULTRACEMCO,INDUSINDBK,correlated,0.8589711308753437
ULTRACEMCO,JSWSTEEL,correlated,0.7676721146849224
ULTRACEMCO,MARUTI,correlated,0.7583940181234605
ULTRACEMCO,TATAMOTORS,correlated,0.905472837406696
UPL,AXISBANK,correlated,0.7353263620945337
UPL,BAJAJ-AUTO,correlated,0.7785811629024808
UPL,GRASIM,correlated,0.7996472678411357
UPL,HDFCBANK,correlated,0.8068169302979163
UPL,INDUSINDBK,correlated,0.7160051843590878
WIPRO,GRASIM,correlated,0.8199440241641184
